Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig,eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα,μδ,Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J0007-0028,00072385-0028071,000723.88-002807.3,,,West2008,0:07:24,23:31:52,1.849315,-0.46865,M7,West2008,...,...,...,...,...,...,...,,,,,42.3 ± 21.0,-15.9 ± 18.4,,,,,,16.244 ± 0.090,15.494 ± 0.094,15.223 ± 0.129,14.956 ± 0.041,14.492 ± 0.071,12.087,,,,25.19 ± 1.05,23.88 ± 0.32,21.90 ± 0.09,19.47 ± 0.03,18.01 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0007-0924,00074204-0924457,000742.12-092446.1,,,West2008,0:07:42,-9:24:45,1.925192,-9.41263,M6,West2008,...,...,...,...,...,...,...,,,,,105.0 ± 21.4,-30.9 ± 23.0,,,,,,15.517 ± 0.050,14.897 ± 0.066,14.554 ± 0.096,14.381 ± 0.033,14.114 ± 0.056,12.05,,,,24.56 ± 1.20,21.97 ± 0.09,20.50 ± 0.04,18.42 ± 0.02,17.26 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0007+0115,00075662+0115220,000756.72+011522.3,,,West2008,0:07:57,1:15:22,1.98599,1.25615,M7,West2008,...,...,...,...,...,...,...,,,,,154.6 ± 18.5,23.1 ± 17.5,,,,,,15.563 ± 0.050,14.967 ± 0.065,14.595 ± 0.070,14.378 ± 0.033,14.226 ± 0.064,12.219,,,,24.42 ± 1.07,22.61 ± 0.12,21.15 ± 0.05,18.66 ± 0.02,17.40 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0007-0954,00075666-0954228,,,,West2008,0:07:57,-9:54:22,1.986108,-9.90622,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.391 ± 0.124,15.490 ± 0.147,15.251 ± 0.180,,,,,,,23.38 ± 0.73,22.78 ± 0.16,21.07 ± 0.05,19.19 ± 0.02,18.15 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0008-0851,00081191-0851451,000811.92-085144.7,,,West2008,0:08:12,-8:51:45,2.049654,-8.8625,M6,West2008,...,...,...,...,...,...,...,,,,,7.1 ± 11.6,37.4 ± 11.4,,,,,,14.871 ± 0.031,14.280 ± 0.064,13.886 ± 0.058,13.700 ± 0.027,13.471 ± 0.038,12.349,,,,24.56 ± 1.57,21.67 ± 0.07,19.93 ± 0.03,17.78 ± 0.02,16.62 ± 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0008+1503,00082178+1503431,000821.80+150342.1,,,West2008,0:08:22,15:03:43,2.090806,15.06189,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,20.5 ± 12.9,-77.6 ± 13.1,,,,,,15.497 ± 0.047,14.954 ± 0.059,14.745 ± 0.115,14.379 ± 0.032,14.132 ± 0.057,12.498,,,,23.00 ± 0.43,22.74 ± 0.13,21.36 ± 0.06,18.75 ± 0.02,17.34 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0008+1519,00084300+1519532,000842.97+151952.7,,,West2008,0:08:43,15:19:53,2.179069,15.33146,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-48.4 ± 35.7,-42.7 ± 39.8,,,,,,16.780 ± 0.173,15.829 ± 0.186,15.865 ± 0.253,15.550 ± 0.054,15.394 ± 0.131,12.321,,,,24.39 ± 0.99,22.98 ± 0.15,21.56 ± 0.06,19.51 ± 0.03,18.35 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0009-0942,00090225-0942334,000902.32-094233.4,,,West2008,0:09:02,-9:42:33,2.25936,-9.70923,M6,West2008,...,...,...,...,...,...,...,,,,,93.6 ± 13.6,-0.6 ± 18.7,,,,,,15.174 ± 0.052,14.730 ± 0.077,14.361 ± 0.082,14.084 ± 0.030,13.896 ± 0.045,12.354 ± 0.394,,,,25.19 ± 1.29,21.88 ± 0.08,20.29 ± 0.03,18.07 ± 0.02,16.88 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0009-1037,00090944-1037484,000909.48-103748.6,,,West2008,0:09:09,-10:37:49,2.289316,-10.63019,M6,West2008,...,...,...,...,...,...,...,,,,,52.7 ± 14.0,-12.5 ± 13.4,,,,,,15.374 ± 0.057,14.744 ± 0.099,14.485 ± 0.084,14.261 ± 0.032,13.936 ± 0.049,12.579 ± 0.475,,,,23.66 ± 1.04,22.10 ± 0.11,20.51 ± 0.03,18.30 ± 0.02,17.11 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0009+1429,00093757+1429296,000937.55+142928.7,,,West2008,0:09:38,14:29:29,2.40654,14.4915,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-20.2 ± 18.1,-64.9 ± 18.7,,,,,,16.396 ± 0.107,15.411 ± 0.082,15.188 ± 0.164,15.043 ± 0.042,14.744 ± 0.083,12.66,,,,24.69 ± 1.18,24.24 ± 0.41,22.51 ± 0.14,19.75 ± 0.04,18.20 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0010-0920,00102889-0920567,001028.94-092056.9,,,West2008,0:10:29,-9:20:57,2.620349,-9.34913,M6,West2008,...,...,...,...,...,...,...,,,,,64.1 ± 25.2,-11.2 ± 25.7,,,,,,16.440 ± 0.117,15.661 ± 0.149,>15.459,15.279 ± 0.046,15.072 ± 0.108,12.37,,,,23.68 ± 0.89,22.85 ± 0.16,21.47 ± 0.08,19.26 ± 0.03,18.09 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0011-1045,00110754-1045073,001107.58-104507.2,,,West2008,0:11:08,-10:45:07,2.781569,-10.75195,M6,West2008,...,...,...,...,...,...,...,,,,,48.8 ± 33.8,1.9 ± 32.9,,,,,,16.583 ± 0.142,15.811 ± 0.171,>15.328,15.606 ± 0.055,15.462 ± 0.160,12.691,,,,23.61 ± 1.08,22.82 ± 0.20,21.33 ± 0.06,19.40 ± 0.03,18.26 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0011+1357,00114766+1357566,001147.65+135756.8,,,West2008,0:11:48,13:57:57,2.948625,13.96577,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-13.7 ± 18.0,16.0 ± 17.9,,,,,,16.067 ± 0.071,15.478 ± 0.084,15.059 ± 0.156,14.930 ± 0.039,14.733 ± 0.078,12.702,,,,25.04 ± 0.92,22.64 ± 0.14,20.91 ± 0.04,18.98 ± 0.03,17.91 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0012-0050,00121918-0050120,001219.16-005011.2,,,West2008,0:12:19,23:09:47,3.079907,-0.83657,M8,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-25.2 ± 24.2,71.4 ± 24.9,,,,,,16.274 ± 0.093,15.643 ± 0.113,15.284 ± 0.151,15.077 ± 0.041,14.880 ± 0.090,12.449,,,,25.02 ± 1.36,24.32 ± 0.57,23.17 ± 0.31,19.88 ± 0.04,18.16 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0012+1401,00122675+1401441,001226.72+140144.0,,,West2008,0:12:27,14:01:44,3.111411,14.02894,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-36.7 ± 23.3,-9.9 ± 24.4,,,,,,16.244 ± 0.085,15.691 ± 0.113,15.381 ± 0.175,15.074 ± 0.041,14.754 ± 0.078,12.246,,,,23.92 ± 0.80,22.85 ± 0.19,21.46 ± 0.06,19.25 ± 0.02,18.03 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0012+1504,00123758+1504242,...,,,West2008,0:12:38,15:04:24,3.156597,15.07338,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,15.396 ± 0.042,14.770 ± 0.050,14.306 ± 0.058,...,...,...,,,,24.87 ± 1.01,22.02 ± 0.07,20.34 ± 0.03,18.27 ± 0.02,17.10 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0012+5059,00125716+5059173,,,NLTT 614,,0:12:57,50:59:17,3.2381667,50.988139,M6.5,,...,,Young,,,,,...,...,...,...,,,,,,,,11.406 ± 0.018,10.818 ± 0.026,10.517 ± 0.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0013-0025,00130931-0025521,001309.36-002551.7,,,West2008,0:13:09,23:34:07,3.288854,-0.43108,M6,West2008,...,...,...,...,...,...,...,,,,,59.5 ± 12.6,35.1 ± 20.8,,,,,,12.167 ± 0.022,11.634 ± 0.026,11.319 ± 0.026,11.054 ± 0.025,10.795 ± 0.021,10.686 ± 0.099,,,,21.53 ± 0.15,19.08 ± 0.02,17.56 ± 0.01,15.29 ± 0.02,13.96 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0013+0045,00131461+0045119,001314.61+004512.0,,,West2008,0:13:15,0:45:12,3.310902,0.75329,M6,West2008,...,...,...,...,...,...,...,,,,,-2.4 ± 15.9,3.9 ± 15.1,,,,,,15.562 ± 0.055,14.968 ± 0.071,14.695 ± 0.098,14.346 ± 0.032,14.232 ± 0.062,12.111,,,,24.83 ± 0.95,22.45 ± 0.10,20.85 ± 0.04,18.59 ± 0.02,17.34 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0013+1529,00131846+1529219,001318.45+152921.5,,,West2008,0:13:18,15:29:22,3.326924,15.48943,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-6.2 ± 12.4,-34.8 ± 13.2,,,,,,15.354 ± 0.039,14.900 ± 0.061,14.425 ± 0.061,14.235 ± 0.032,14.094 ± 0.049,12.218 ± 0.312,,,,23.18 ± 0.48,22.19 ± 0.08,20.65 ± 0.03,18.38 ± 0.02,17.20 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0013-0923,00132174-0923188,001321.78-092319.0,,,West2008,0:13:22,-9:23:19,3.340631,-9.38855,M6,West2008,...,...,...,...,...,...,...,,,,,57.9 ± 21.4,-13.4 ± 19.2,,,,,,15.662 ± 0.055,15.028 ± 0.061,14.556 ± 0.082,14.555 ± 0.034,14.402 ± 0.069,12.523,,,,23.88 ± 1.08,22.53 ± 0.15,20.78 ± 0.05,18.62 ± 0.02,17.45 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0013+1402,00132839+1402174,,,,West2008,0:13:28,14:02:17,3.368251,14.0381,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,16.902 ± 0.151,16.006 ± 0.142,15.497 ± 0.180,,,,,,,24.86 ± 0.98,24.37 ± 0.38,22.28 ± 0.12,20.03 ± 0.04,18.52 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0013-1052,00135307-1052433,,,,West2008,0:13:53,-10:52:43,3.471153,-10.8787,M7,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,15.991 ± 0.074,15.647 ± 0.095,15.112 ± 0.123,,,,,,,23.06 ± 1.28,23.47 ± 0.38,21.94 ± 0.11,19.15 ± 0.03,17.84 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0014+4934,00140837+4934338,,,,,0:14:08,49:34:34,3.534893,49.576065,M6,Cruz2003,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0014+1610,00141083+1610028,001410.94+161003.0,,,West2008,0:14:11,16:10:03,3.545225,16.16747,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,137.5 ± 20.9,19.8 ± 23.0,,,,,,16.235 ± 0.087,15.599 ± 0.104,15.262 ± 0.135,15.131 ± 0.043,14.995 ± 0.096,12.232,,,,24.64 ± 1.09,23.27 ± 0.22,21.67 ± 0.09,19.35 ± 0.02,18.12 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0014+1511,00142203+1511317,001422.12+151131.0,,,West2008,0:14:22,15:11:32,3.591857,15.19209,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,120.6 ± 21.0,-59.3 ± 21.5,,,,,,16.221 ± 0.081,15.580 ± 0.106,15.096 ± 0.110,14.976 ± 0.040,14.718 ± 0.082,12.676,,,,24.26 ± 0.98,23.35 ± 0.22,21.70 ± 0.07,19.35 ± 0.02,18.08 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0014+1536,00143747+1536209,001437.46+153621.0,,,West2008,0:14:37,15:36:21,3.656191,15.60583,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-13.4 ± 13.6,4.2 ± 14.5,,,,,,15.658 ± 0.055,15.073 ± 0.059,14.724 ± 0.087,14.491 ± 0.033,14.262 ± 0.061,12.683,,,,24.18 ± 0.84,22.26 ± 0.09,20.45 ± 0.03,18.39 ± 0.02,17.28 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
