Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig,eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα,μδ,Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J1204+3437,12045237+3437228,120452.13+343723.3,,HIP 58918 B,Deacon2014,12:04:52,34:37:23,181.21823,34.62302,...,...,M7,Deacon2014,...,...,...,...,...,55.77,5.57,5.57,VanLeuuwen2007,-297.5 ± 11.3,42.9 ± 13.9,,,,,,14.471 ± 0.028,13.899 ± 0.044,13.524 ± 0.021,13.252 ± 0.025,12.954 ± 0.029,12.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1204+4405,12045598+4405348,120456.03+440534.1,,,West2008,12:04:56,44:05:35,181.23328,44.09296,M6,West2008,...,...,...,...,...,...,...,,,,,43.9 ± 11.8,-65.9 ± 19.6,,,,,,16.039 ± 0.066,15.342 ± 0.073,15.082 ± 0.107,14.904 ± 0.036,14.802 ± 0.073,12.384,,,,24.58 ± 1.10,22.73 ± 0.17,21.13 ± 0.05,18.91 ± 0.02,17.74 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1204+6345,12045754+6345242,120457.66+634524.1,,,West2008,12:04:58,63:45:24,181.23997,63.75667,M6,West2008,...,...,...,...,...,...,...,,,,,71.1 ± 7.8,-7.0 ± 22.9,,,,,,16.267 ± 0.108,15.576 ± 0.146,>14.856,15.134 ± 0.036,14.984 ± 0.066,12.776,,,,24.13 ± 0.78,22.49 ± 0.13,20.96 ± 0.04,18.97 ± 0.02,17.88 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1205+0633,12050323+0633224,120503.23+063322.4,,,West2008,12:05:03,6:33:22,181.26344,6.55614,M6,West2008,...,...,...,...,...,...,...,,,,,-0.2 ± 30.3,-3.4 ± 30.5,,,,,,16.287 ± 0.119,15.713 ± 0.142,15.352 ± 0.217,15.098 ± 0.042,14.788 ± 0.079,12.141,,,,23.45 ± 0.74,23.65 ± 0.42,21.52 ± 0.09,19.33 ± 0.05,18.12 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1205+4057,12050332+4057147,120503.32+405714.5,,,West2008,12:05:03,40:57:15,181.26386,40.95408,M9,West2008,...,...,...,...,...,...,...,,,,,-1.7 ± 18.8,-18.1 ± 28.2,,,,,,16.573 ± 0.145,15.835 ± 0.160,15.487 ± 0.180,15.227 ± 0.040,15.132 ± 0.084,13.019,,,,23.86 ± 1.18,24.30 ± 0.56,23.51 ± 0.40,20.69 ± 0.06,18.90 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1205-0312,12050387-0312128,120503.88-031214.1,,,West2008,12:05:04,-3:12:13,181.26615,-3.20364,M7,West2008,...,...,...,...,...,...,...,,,,,6.3 ± 7.6,-114.9 ± 12.0,,,,,,14.997 ± 0.038,14.385 ± 0.037,13.959 ± 0.055,13.804 ± 0.029,13.623 ± 0.045,12.413,,,,23.61 ± 1.01,23.23 ± 0.27,21.18 ± 0.07,18.49 ± 0.02,16.92 ± 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1205+4045,12051641+4045037,120516.48+404503.4,,,West2008,12:05:16,40:45:03,181.31866,40.75093,M6,West2008,...,...,...,...,...,...,...,,,,,58.8 ± 20.7,-27.5 ± 33.4,,,,,,16.626 ± 0.144,15.887 ± 0.158,15.643 ± 0.205,15.486 ± 0.048,15.273 ± 0.112,12.558,,,,24.29 ± 0.68,23.86 ± 0.25,22.56 ± 0.13,19.95 ± 0.03,18.43 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1205+4628,12051873+4628001,120518.74+462759.2,,,West2008,12:05:19,46:28:00,181.32798,46.46654,M7,West2008,...,...,...,...,...,...,...,,,,,12.4 ± 7.9,-80.5 ± 12.1,,,,,,15.206 ± 0.035,14.624 ± 0.039,14.263 ± 0.050,13.989 ± 0.028,13.789 ± 0.039,13.015,,,,24.03 ± 0.75,22.53 ± 0.13,20.97 ± 0.05,18.50 ± 0.01,17.13 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1205+6217,12052592+6217427,120525.89+621743.0,,,West2008,12:05:26,62:17:43,181.35784,62.29533,M6,West2008,...,...,...,...,...,...,...,,,,,-21.2 ± 5.0,30.2 ± 17.6,,,,,,16.204 ± 0.113,15.368 ± 0.122,15.492 ± 0.263,15.130 ± 0.038,14.872 ± 0.069,12.747,,,,23.71 ± 0.87,22.98 ± 0.18,21.55 ± 0.09,19.24 ± 0.02,17.99 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1205+5240,12052647+5240277,120526.37+524027.3,,,West2008,12:05:26,52:40:27,181.36029,52.6743,M8,West2008,...,...,...,...,...,...,...,,,,,-77.8 ± 9.4,-34.7 ± 18.2,,,,,,16.090 ± 0.089,15.434 ± 0.117,15.012 ± 0.137,14.898 ± 0.035,14.666 ± 0.061,12.995,,,,23.50 ± 0.69,23.40 ± 0.23,22.37 ± 0.14,19.61 ± 0.07,17.97 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1205+5740,12052958+5740593,120529.53+574059.2,,,West2008,12:05:30,57:40:59,181.37313,57.68311,M6,West2008,...,...,...,...,...,...,...,,,,,-32.6 ± 12.1,-10.9 ± 29.0,,,,,,16.446 ± 0.113,15.783 ± 0.152,15.677 ± 0.195,15.449 ± 0.042,15.462 ± 0.110,13.078,,,,24.76 ± 1.43,23.12 ± 0.20,21.47 ± 0.07,19.36 ± 0.03,18.22 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1205+0358,12053396+0358145,...,,,West2008,12:05:34,3:58:14,181.39148,3.97066,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,13.518 ± 0.021,12.927 ± 0.022,12.611 ± 0.017,...,...,...,,,,22.33 ± 0.22,19.98 ± 0.04,18.46 ± 0.02,16.39 ± 0.01,15.24 ± 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1205+1520,12053404+1520064,120533.95+152006.7,,,West2008,12:05:34,15:20:07,181.39169,15.33516,M7,West2008,...,...,...,...,...,...,...,,,,,-96.7 ± 11.4,18.3 ± 13.6,,,,,,15.341 ± 0.041,14.688 ± 0.050,14.329 ± 0.051,14.120 ± 0.033,13.909 ± 0.044,12.591,,,,24.73 ± 0.85,22.78 ± 0.11,21.26 ± 0.05,18.59 ± 0.02,17.19 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1205+3922,12053539+3922476,120535.30+392246.7,,,West2008,12:05:35,39:22:47,181.39727,39.37978,M6,West2008,...,...,...,...,...,...,...,,,,,-85.9 ± 7.6,-67.8 ± 10.4,,,,,,14.940 ± 0.038,14.374 ± 0.044,14.065 ± 0.051,13.779 ± 0.026,13.554 ± 0.034,12.251,,,,23.79 ± 0.69,21.36 ± 0.04,19.80 ± 0.02,17.72 ± 0.02,16.60 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1205+4034,12053778+4034543,120537.80+403453.6,,,West2008,12:05:38,40:34:54,181.40743,40.58162,M6,West2008,...,...,...,...,...,...,...,,,,,24.2 ± 14.1,-64.6 ± 20.9,,,,,,16.109 ± 0.094,15.323 ± 0.097,15.420 ± 0.167,15.079 ± 0.039,14.755 ± 0.074,12.355,,,,24.28 ± 0.68,22.74 ± 0.10,21.18 ± 0.05,19.02 ± 0.02,17.87 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1205+4051,12054055+4051428,120540.56+405142.5,,,West2008,12:05:41,40:51:43,181.41898,40.86185,M7,West2008,...,...,...,...,...,...,...,,,,,6.6 ± 9.0,-23.3 ± 12.9,,,,,,15.774 ± 0.064,15.101 ± 0.072,14.718 ± 0.077,14.479 ± 0.031,14.280 ± 0.048,12.301,,,,25.57 ± 1.09,24.38 ± 0.54,21.76 ± 0.09,19.44 ± 0.02,17.92 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1205+1523,12055176+1523168,120551.74+152317.2,,,West2008,12:05:52,15:23:17,181.46567,15.38806,M7,West2008,...,...,...,...,...,...,...,,,,,-30.5 ± 13.7,31.0 ± 15.3,,,,,,15.882 ± 0.066,15.252 ± 0.085,14.744 ± 0.078,14.639 ± 0.035,14.504 ± 0.066,12.454,,,,25.66 ± 0.59,23.01 ± 0.13,21.51 ± 0.05,19.01 ± 0.02,17.66 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1205+4835,12055483+4835494,120554.86+483549.5,,,West2008,12:05:55,48:35:49,181.47851,48.59708,M6,West2008,...,...,...,...,...,...,...,,,,,30.2 ± 15.4,11.4 ± 27.5,,,,,,16.647 ± 0.132,15.835 ± 0.154,15.409 ± 0.168,15.401 ± 0.043,15.256 ± 0.100,12.86,,,,23.42 ± 0.62,23.36 ± 0.22,21.57 ± 0.08,19.40 ± 0.03,18.17 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1206+3247,12060032+3247446,120600.36+324744.1,,,West2008,12:06:00,32:47:44,181.50143,32.79563,M6,West2008,...,...,...,...,...,...,...,,,,,39.8 ± 18.4,-44.2 ± 22.0,,,,,,16.059 ± 0.084,15.451 ± 0.104,15.587 ± 0.211,14.984 ± 0.038,14.901 ± 0.087,12.59,,,,23.76 ± 0.85,22.85 ± 0.14,21.44 ± 0.06,19.26 ± 0.02,17.97 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1206-0222,12060089-0222274,120600.92-022227.4,,,West2008,12:06:01,-2:22:27,181.50378,-2.37425,M6,West2008,...,...,...,...,...,...,...,,,,,42.1 ± 20.7,1.5 ± 21.1,,,,,,16.301 ± 0.114,15.434 ± 0.084,15.540 ± 0.217,15.033 ± 0.041,14.567 ± 0.078,12.166,,,,25.80 ± 0.76,23.30 ± 0.28,21.92 ± 0.12,19.45 ± 0.03,18.07 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1206+4533,12060095+4533152,120600.95+453314.4,,,West2008,12:06:01,45:33:15,181.50395,45.55406,M7,West2008,...,...,...,...,...,...,...,,,,,1.9 ± 12.6,-71.1 ± 21.4,,,,,,16.389 ± 0.098,15.607 ± 0.088,15.204 ± 0.120,14.903 ± 0.037,14.596 ± 0.063,12.192,,,,24.99 ± 0.70,25.57 ± 0.54,23.83 ± 0.36,20.61 ± 0.04,18.80 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1206+3330,12060620+3330503,120606.14+333049.5,,,West2008,12:06:06,33:30:50,181.52574,33.51388,M6,West2008,...,...,...,...,...,...,...,,,,,-63.4 ± 22.0,-61.4 ± 27.7,,,,,,16.394 ± 0.110,15.623 ± 0.133,15.383 ± 0.174,15.268 ± 0.042,15.362 ± 0.115,12.853,,,,24.12 ± 1.11,22.66 ± 0.12,21.20 ± 0.05,19.16 ± 0.03,18.03 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1206+6716,12061272+6716588,120613.08+671659.0,,,West2008,12:06:13,67:16:59,181.55314,67.28301,M7,West2008,...,...,...,...,...,...,...,,,,,186.8 ± 3.8,19.6 ± 11.4,,,,,,14.560 ± 0.033,14.083 ± 0.048,13.741 ± 0.044,13.468 ± 0.024,13.247 ± 0.029,12.615,,,,23.52 ± 0.65,21.82 ± 0.07,20.09 ± 0.03,17.55 ± 0.01,16.28 ± 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1206+6403,12061330+6403213,120613.33+640321.5,,,West2008,12:06:13,64:03:21,181.55553,64.05595,M7,West2008,...,...,...,...,...,...,...,,,,,19.1 ± 5.7,23.8 ± 15.2,,,,,,15.885 ± 0.080,15.367 ± 0.114,14.987 ± 0.161,14.594 ± 0.031,14.476 ± 0.049,13.19,,,,23.15 ± 1.36,23.23 ± 0.35,21.72 ± 0.10,19.15 ± 0.04,17.70 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1206+5303,12061571+5303428,120615.72+530342.8,,,West2008,12:06:16,53:03:43,181.56552,53.06194,M6,West2008,...,...,...,...,...,...,...,,,,,9.9 ± 8.7,-8.5 ± 17.0,,,,,,15.665 ± 0.062,14.975 ± 0.074,14.550 ± 0.086,14.537 ± 0.031,14.360 ± 0.056,12.266,,,,23.66 ± 0.71,22.12 ± 0.08,20.44 ± 0.03,18.41 ± 0.02,17.29 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1206+6435,12063838+6435559,...,,,West2008,12:06:38,64:35:56,181.66,64.59884,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.275 ± 0.099,15.584 ± 0.147,15.286 ± 0.140,...,...,...,,,,25.26 ± 0.67,23.21 ± 0.18,21.43 ± 0.06,19.22 ± 0.02,18.04 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1207+5334,12070722+5334552,120707.22+533455.4,,,West2008,12:07:07,53:34:55,181.78006,53.58206,M6,West2008,...,...,...,...,...,...,...,,,,,2.6 ± 9.9,17.1 ± 22.0,,,,,,15.938 ± 0.069,15.433 ± 0.116,15.024 ± 0.112,14.920 ± 0.036,14.810 ± 0.073,12.968,,,,22.76 ± 0.41,22.86 ± 0.15,21.02 ± 0.05,18.87 ± 0.02,17.67 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1207+6134,12071679+6134495,120716.79+613449.5,,,West2008,12:07:17,61:34:49,181.81993,61.58037,M6,West2008,...,...,...,...,...,...,...,,,,,-2.1 ± 8.6,-1.8 ± 26.0,,,,,,16.167 ± 0.093,15.521 ± 0.119,15.235 ± 0.135,15.012 ± 0.034,14.972 ± 0.073,12.727,,,,25.75 ± 0.69,23.03 ± 0.25,21.28 ± 0.07,19.03 ± 0.02,17.83 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1207+4053,12071863+4053572,120718.53+405357.0,,,West2008,12:07:19,40:53:57,181.82743,40.8992,M6,West2008,...,...,...,...,...,...,...,,,,,-91.5 ± 7.6,-10.1 ± 10.5,,,,,,14.932 ± 0.033,14.224 ± 0.037,13.959 ± 0.045,13.669 ± 0.027,13.434 ± 0.035,12.090 ± 0.256,,,,23.55 ± 1.02,21.72 ± 0.07,20.00 ± 0.03,17.82 ± 0.01,16.67 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1207+1341,12071950+1341463,120719.48+134146.2,,,West2008,12:07:19,13:41:46,181.83119,13.6962,M6,West2008,...,...,...,...,...,...,...,,,,,-30.5 ± 17.0,-9.2 ± 14.1,,,,,,15.572 ± 0.053,15.011 ± 0.081,14.661 ± 0.077,14.369 ± 0.033,14.322 ± 0.057,12.766,,,,24.98 ± 1.36,22.02 ± 0.09,20.43 ± 0.04,18.36 ± 0.01,17.24 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1207+5626,12071968+5626313,120719.68+562632.0,,,West2008,12:07:20,56:26:31,181.83204,56.44208,M6,West2008,...,...,...,...,...,...,...,,,,,-1.0 ± 4.5,64.6 ± 9.7,,,,,,13.850 ± 0.026,13.273 ± 0.029,12.925 ± 0.024,12.745 ± 0.024,12.520 ± 0.024,12.212 ± 0.259,,,,24.22 ± 1.07,20.82 ± 0.05,19.18 ± 0.02,16.81 ± 0.02,15.54 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1207+0440,12072236+0440433,,,,West2008,12:07:22,4:40:43,181.84327,4.67871,M7,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.080 ± 0.097,15.446 ± 0.097,14.857 ± 0.129,,,,,,,23.50 ± 0.66,23.32 ± 0.25,21.59 ± 0.08,19.28 ± 0.03,17.96 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1207+1426,12072852+1426233,120728.51+142623.5,,,West2008,12:07:29,14:26:24,181.86877,14.43988,M7,West2008,...,...,...,...,...,...,...,,,,,-8.7 ± 10.4,8.3 ± 11.3,,,,,,15.020 ± 0.030,14.358 ± 0.040,14.080 ± 0.047,13.900 ± 0.029,13.684 ± 0.041,12.73,,,,23.22 ± 0.50,22.21 ± 0.08,20.54 ± 0.03,18.19 ± 0.02,16.89 ± 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1207-3932,12073346-3932539,,,TWA 27 A,,12:07:33,-39:32:54,181.88942,-39.548306,,Kirkpatrick2008,...,...,...,...,TWA,Bona Fide,Mamajek2005,52.63,1.11,1.11,Weinberger2012,,,,,,,,12.995 ± 0.023,12.388 ± 0.026,11.945 ± 0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1207+0514,12073607+0514549,,,,West2008,12:07:36,5:14:55,181.90036,5.2485,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.336 ± 0.114,15.741 ± 0.132,15.160 ± 0.149,,,,,,,24.67 ± 0.85,23.11 ± 0.17,21.71 ± 0.07,19.46 ± 0.02,18.24 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1207+4249,12073807+4249045,120738.01+424904.2,,,West2008,12:07:38,42:49:04,181.90851,42.8179,M7,West2008,...,...,...,...,...,...,...,,,,,-53.6 ± 14.1,-26.2 ± 20.9,,,,,,16.048 ± 0.097,15.402 ± 0.136,15.422 ± 0.199,14.941 ± 0.036,14.639 ± 0.065,12.166,,,,25.97 ± 0.54,24.24 ± 0.37,22.34 ± 0.12,19.44 ± 0.03,17.89 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1207+6157,12074513+6157039,,,,West2008,12:07:45,61:57:04,181.93758,61.95107,M8,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.730 ± 0.183,16.018 ± 0.213,15.280 ± 0.229,,,,,,,24.90 ± 1.35,24.43 ± 0.53,21.65 ± 0.10,20.14 ± 0.04,18.75 ± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1207+0806,12075326+0806453,,,,West2008,12:07:53,8:06:45,181.97196,8.11255,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.069 ± 0.102,15.361 ± 0.102,14.888 ± 0.143,,,,,,,24.39 ± 0.86,22.74 ± 0.12,21.11 ± 0.04,18.98 ± 0.02,17.78 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1208-0211,12080641-0211127,120806.21-021112.3,,,West2008,12:08:06,-2:11:13,182.02664,-2.18684,M8,West2008,...,...,...,...,...,...,...,,,,,-266.3 ± 8.9,35.4 ± 10.5,,,,,,15.717 ± 0.053,15.031 ± 0.051,14.626 ± 0.104,14.439 ± 0.030,14.227 ± 0.073,11.839,,,,24.34 ± 0.86,23.50 ± 0.25,22.05 ± 0.11,19.25 ± 0.02,17.65 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1208+3520,12080810+3520281,120807.50+352027.3,,,West2008,12:08:08,35:20:28,182.03253,35.34104,M6,West2008,...,...,...,...,...,...,...,,,,,-601.3 ± 8.1,-57.9 ± 10.9,,,,,,12.367 ± 0.018,11.791 ± 0.019,11.419 ± 0.018,11.209 ± 0.023,10.996 ± 0.020,10.838 ± 0.079,,,,20.88 ± 0.09,19.01 ± 0.02,17.40 ± 0.02,15.26 ± 0.01,14.11 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1208+3704,12081100+3704379,120811.01+370437.8,,,West2008,12:08:11,37:04:38,182.04589,37.07721,M7,West2008,...,...,...,...,...,...,...,,,,,9.9 ± 7.9,-11.9 ± 10.3,,,,,,14.729 ± 0.029,14.167 ± 0.039,13.758 ± 0.034,13.442 ± 0.025,13.226 ± 0.031,12.185,,,,24.92 ± 0.94,22.16 ± 0.07,20.70 ± 0.04,18.02 ± 0.02,16.58 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1208+1225,12081549+1225038,120815.46+122504.2,,,West2008,12:08:15,12:25:04,182.06449,12.41775,M6,West2008,...,...,...,...,...,...,...,,,,,-32.7 ± 25.6,27.5 ± 28.0,,,,,,16.630 ± 0.125,15.979 ± 0.170,15.703 ± 0.186,15.506 ± 0.049,15.327 ± 0.115,12.155,,,,24.44 ± 1.38,22.73 ± 0.17,21.13 ± 0.06,19.30 ± 0.03,18.25 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1208+4056,12081602+4056301,120815.84+405629.7,,,West2008,12:08:16,40:56:30,182.06636,40.94165,M9,West2008,...,...,...,...,...,...,...,,,,,-173.6 ± 7.7,-36.1 ± 10.9,,,,,,15.471 ± 0.048,14.741 ± 0.051,14.393 ± 0.068,13.954 ± 0.028,13.754 ± 0.037,12.375 ± 0.321,,,,23.07 ± 0.68,23.82 ± 0.40,22.10 ± 0.14,19.51 ± 0.03,17.74 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1208+0845,12081689+0845279,120816.81+084527.5,,,West2008,12:08:17,8:45:28,182.07041,8.75788,M9,West2008,...,...,...,...,...,...,...,,,,,-115.0 ± 11.5,-31.9 ± 11.2,,,,,,14.057 ± 0.025,13.347 ± 0.029,12.962 ± 0.029,12.694 ± 0.024,12.455 ± 0.026,11.766 ± 0.215,,,,20.45 ± 0.06,20.32 ± 0.04,19.94 ± 0.02,17.74 ± 0.03,16.14 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1208+0544,12081778+0544187,,,,West2008,12:08:18,5:44:19,182.07401,5.73864,M8,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.491 ± 0.164,15.791 ± 0.144,15.103 ± 0.177,,,,,,,23.07 ± 0.35,24.21 ± 0.39,23.07 ± 0.22,20.24 ± 0.03,18.67 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1208+5342,12082530+5342019,120825.23+534201.4,,,West2008,12:08:25,53:42:02,182.10529,53.70051,M7,West2008,...,...,...,...,...,...,...,,,,,-56.6 ± 5.1,-40.4 ± 11.6,,,,,,15.969 ± 0.079,15.366 ± 0.105,15.117 ± 0.130,14.734 ± 0.034,14.651 ± 0.067,12.631,,,,24.35 ± 1.08,24.08 ± 0.43,21.70 ± 0.08,19.28 ± 0.02,17.93 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1208-0317,12084328-0317297,120843.28-031729.7,,,West2008,12:08:44,-3:16:23,182.18307,-3.27313,M7,West2008,...,...,...,...,...,...,...,,,,,2.1 ± 17.1,-0.8 ± 16.7,,,,,,16.592 ± 0.139,15.917 ± 0.173,14.944 ± 0.153,14.505 ± 0.032,14.390 ± 0.116,10.400 ± 0.196,,,,25.79 ± 0.99,24.19 ± 0.57,22.24 ± 0.17,20.27 ± 0.05,18.86 ± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1209+5336,12090090+5336115,120900.86+533611.6,,,West2008,12:09:01,53:36:12,182.25367,53.60328,M9,West2008,...,...,...,...,...,...,...,,,,,-32.1 ± 10.4,9.9 ± 21.8,,,,,,16.195 ± 0.088,15.637 ± 0.134,15.216 ± 0.146,14.868 ± 0.034,14.640 ± 0.062,12.319,,,,25.84 ± 0.66,23.81 ± 0.35,23.54 ± 0.37,19.97 ± 0.03,18.32 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1209+0416,12090407+0416593,,,,West2008,12:09:03,4:16:55,182.26436,4.28204,M7,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.355 ± 0.122,15.462 ± 0.106,14.962 ± 0.155,,,,,,,24.76 ± 1.24,23.75 ± 0.38,22.86 ± 0.25,20.28 ± 0.04,18.71 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1209+5217,12090427+5217447,120904.22+521744.9,,,West2008,12:09:04,52:17:45,182.26778,52.29577,M6,West2008,...,...,...,...,...,...,...,,,,,-38.3 ± 8.0,23.9 ± 14.9,,,,,,15.894 ± 0.067,15.250 ± 0.087,15.023 ± 0.124,14.853 ± 0.032,14.613 ± 0.049,13.252,,,,25.13 ± 0.77,22.48 ± 0.12,20.89 ± 0.04,18.77 ± 0.02,17.61 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1209+4135,12090913+4135300,120909.11+413530.3,,,West2008,12:09:09,41:35:30,182.28783,41.59169,M6,West2008,...,...,...,...,...,...,...,,,,,-17.4 ± 18.6,27.8 ± 28.8,,,,,,16.413 ± 0.103,16.118 ± 0.185,15.702 ± 0.203,15.283 ± 0.044,14.969 ± 0.084,12.915,,,,23.99 ± 0.76,22.63 ± 0.15,21.16 ± 0.05,19.15 ± 0.02,18.11 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1209+4146,12091641+4146285,120916.35+414628.4,,,West2008,12:09:16,41:46:29,182.31824,41.77462,M6,West2008,...,...,...,...,...,...,...,,,,,-48.5 ± 11.7,-6.9 ± 30.1,,,,,,15.944 ± 0.071,15.361 ± 0.086,15.208 ± 0.129,14.963 ± 0.038,14.692 ± 0.070,12.886,,,,23.92 ± 1.06,22.25 ± 0.09,20.67 ± 0.04,18.66 ± 0.02,17.53 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1209+0542,12092283+0542056,120922.83+054202.4,,,West2008,12:09:23,5:42:05,182.34516,5.70148,M7,West2008,...,...,...,...,...,...,...,,,,,-6.4 ± 14.9,-307.7 ± 10.0,,,,,,13.689 ± 0.025,13.098 ± 0.024,12.765 ± 0.029,12.461 ± 0.024,12.201 ± 0.024,11.924 ± 0.250,,,,26.05 ± 0.94,22.25 ± 0.08,20.49 ± 0.03,17.46 ± 0.01,15.83 ± 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
