Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig (pc),eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα (mas/yr),μδ (mas/yr),Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J0015+2959,00150206+2959323,001502.37+295930.1,,,Kirkpatrick2010,0:15:02,29:59:32,3.758583,29.992306,...,...,L7.5 p(blue),Kirkpatrick2010,Blue,Kirkpatrick2010,...,...,...,...,...,...,...,382.0 ± 10.8,-203.6 ± 12.8,...,...,,-71.0 ± 50.0,Kirkpatrick2010,16.158 ± 0.080,15.226 ± 0.084,14.482 ± 0.072,13.691 ± 0.026,13.384 ± 0.035,11.707 ± 0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0015+3516,00154476+3516026,001544.81+351600.0,,2MASSW J0015447+351603,Kirkpatrick2000,0:15:45,35:16:03,3.9364995,35.267389,L2,Kirkpatrick2000,L1,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,61.5 ± 7.8,-252.7 ± 11.1,83.15 ± 16.92,-245.66 ± 14.56,Jameson2008,-37.3 ± 0.2,Blake2010,13.878 ± 0.028,12.892 ± 0.035,12.264 ± 0.022,11.775 ± 0.023,11.534 ± 0.021,11.032 ± 0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0016-0043,00160844-0043021,001608.54-004302.3,001608.44-004302.3,,Knapp2004,0:16:08,23:16:57,4.035125,-0.71724722,...,...,L5.5,Knapp2004,...,...,...,...,...,...,...,...,...,135.5 ± 13.5,-16.8 ± 17.3,...,...,,...,...,16.326 ± 0.116,15.229 ± 0.112,14.541 ± 0.089,13.837 ± 0.028,13.343 ± 0.036,12.392 ± 0.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0016-1039,00163762-1039106,001637.52-103912.9,001637.62-103911.2,,West2008,0:16:38,-10:39:11,4.156735,-10.6531,L0,West2008,M9,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-120.7 ± 14.6,-198.0 ± 14.4,,,,-1.6 ± 24.8,Schmidt2010;West2008,15.455 ± 0.050,14.780 ± 0.069,14.533 ± 0.095,14.144 ± 0.031,13.867 ± 0.048,> 11.962,,,,25.48 ± 1.21,25.50 ± 0.71,22.64 ± 0.24,19.73 ± 0.03,17.77 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0016-4056,00165953-4056541,001659.72-405653.6,,,Kirkpatrick2008,0:17:00,-40:56:54,4.248042,-40.948361,L3.5,Kirkpatrick2008,...,...,...,...,...,...,...,...,...,...,...,204.9 ± 6.8,44.0 ± 9.5,...,...,,...,...,15.316 ± 0.060,14.206 ± 0.047,13.432 ± 0.037,12.808 ± 0.024,12.437 ± 0.023,12.814 ± 0.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0018-0025,...,,,ULAS J001837-002559,Day-Jones2013,0:18:37,23:34:01,4.6541667,-0.43305556,...,...,L9,Day-Jones2013,...,...,...,...,...,...,...,...,...,,,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0018-6356,00184613-6356122,001846.59-635615.7,,,Reid2008,0:18:46,-63:56:12,4.692249,-63.936741,L2,Reid2008,...,...,...,...,...,...,...,...,...,...,...,310.0 ± 4.5,-367.3 ± 11.9,...,...,,...,...,15.224 ± 0.042,14.229 ± 0.044,13.611 ± 0.041,13.264 ± 0.025,13.004 ± 0.027,12.538 ± 0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0019+0030,00191165+0030176,001911.62+003017.3,001911.65+003017.8,,Hawley2002,0:19:12,0:30:18,4.7985417,0.50488889,L1,Hawley2002,L0.5,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-42.4 ± 13.1,-30.2 ± 16.1,-28.78 ± 15.24,-25.02 ± 15.11,Jameson2008,-4.5 ± 15.3,Schmidt2010,14.921 ± 0.035,14.180 ± 0.040,13.568 ± 0.033,13.235 ± 0.026,12.949 ± 0.030,12.193 ± 0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0019+4018,00193275+4018576,001932.66+401855.2,,NLTT 1011 B,Deacon2014,0:19:33,40:18:55,4.886494,40.316006,...,...,L2,Deacon2014,Companion,Deacon2014,...,...,...,...,...,...,...,-97.1 ± 8.0,-203.7 ± 11.4,,,,...,...,15.544 ± 0.057,14.928 ± 0.068,14.318 ± 0.065,13.762 ± 0.026,13.414 ± 0.032,> 12.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0019-3724,00193927-3724392,001939.43-372438.9,,,Burgasser2010,0:19:39,-37:24:39,4.913625,-37.410889,L3:,Burgasser2010,...,...,...,...,...,...,...,...,...,...,...,166.0 ± 7.9,25.0 ± 9.9,,,,...,...,15.519 ± 0.059,14.470 ± 0.039,13.689 ± 0.057,13.144 ± 0.023,12.800 ± 0.027,12.629 ± 0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
