Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig (pc),eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα (mas/yr),μδ (mas/yr),Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J1301-0302, ... ,130141.62-030212.9,,WISE J130141.62-030212.9,Mace2013,13:01:42,-3:02:13,195.4234672,-3.0369417,...,...,T8.5,Mace2013,...,...,...,...,...,...,...,...,...,,,,,,,, ... , ... , ... ,18.06 ± 0.38,14.95 ± 0.09,> 12.24,> 8.88,,,,,,,,,,,,,,16.64 ± 0.04,Mace2013,14.89 ± 0.02,Mace2013,,,,, ... , ... ,18.00 ± 0.02,Mace2013,18.39 ± 0.06,Mace2013, ... , ... ,,,,,,,,,,,,,,
J1301+5841,13014817+5841043,130148.16+584104.4,130148.19+584104.1,,Schmidt2010,13:01:48,58:41:04,195.450795,58.684472,L1,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-10.9 ± 6.8,13.5 ± 15.2,...,...,,...,...,16.099 ± 0.084,15.452 ± 0.106,14.862 ± 0.101,14.452 ± 0.028,14.243 ± 0.042,13.111 ± 0.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1301-1510,13015465-1510223,130154.59-151023.2,,,Reid2008,13:01:55,-15:10:22,195.47767,-15.172858,L1,Reid2008,L0.5,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-77.9 ± 9.4,-82.0 ± 9.9,-69.24 ± 13.99,-74.25 ± 14.02,Jameson2008,...,...,14.538 ± 0.035,13.665 ± 0.026,13.098 ± 0.029,12.793 ± 0.024,12.554 ± 0.025,12.198 ± 0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1302+1308,...,,,ULAS J130217.21+130851.2,Burningham2010b,13:02:17,13:08:51,195.57171,13.147556,...,...,T8.5,Burningham2010b,...,...,...,...,...,...,...,...,...,,,...,...,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,19.12 ± 0.03,Burningham2010b,18.11 ± 0.04,Burningham2010b,18.60 ± 0.06,Burningham2010b,18.28 ± 0.03,Burningham2010b,,,,,,,,,,,,,X,
J1302+1434,...,...,,ULAS J130227.54+143428.0 ,Burningham2013,13:02:28,14:34:28,195.61475,14.574444,...,...,T4.5,Burningham2013,...,...,...,...,...,...,...,...,...,,,,,,,,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,19.75 ± 0.13,Burningham2013,18.6 ± 0.04,Burningham2013,18.8 ± 0.04,Burningham2013,...         ,Burningham2013,,,,,,,,,,,,,,
J1302+5126,13023465+5126012,130234.88+512559.7,,,West2008,13:02:35,51:26:01,195.64462,51.43359,L0,West2008,...,...,...,...,...,...,...,...,...,...,...,190.5 ± 6.9,-136.5 ± 12.6,,,,22.0 ± 6.6,West2008;Schmidt2010,15.543 ± 0.069,15.024 ± 0.088,14.367 ± 0.084,14.151 ± 0.027,13.898 ± 0.038,> 12.973,,,,24.74 ± 1.31,24.14 ± 0.48,22.69 ± 1.04,20.03 ± 0.04,18.05 ± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1302+5650,13023811+5650212,130237.86+565021.6,,,Kirkpatrick2010,13:02:38,56:50:21,195.658785,56.839222,L2,Kirkpatrick2010,L3: p(blue),Kirkpatrick2010,Blue,Kirkpatrick2010,...,...,...,...,...,...,...,-202.7 ± 7.9,33.0 ± 17.0,...,...,,117.0 ± 50.0,Kirkpatrick2010,16.360 ± 0.121,15.469 ± 0.104,14.972 ± 0.123,14.592 ± 0.030,14.295 ± 0.048,> 12.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1302+5640,13025102+5640381,130250.75+564037.5,130250.94+564037.8,,Schmidt2010,13:02:51,56:40:38,195.712245,56.677167,L0,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-204.3 ± 8.4,-54.3 ± 24.0,...,...,,-22.1 ± 17.6,Schmidt2010,16.138 ± 0.118,15.485 ± 0.120,14.994 ± 0.118,14.705 ± 0.032,14.486 ± 0.054,> 12.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1303+0016,...,,,ULAS J130303.54+001627.7,Pinfield2008,13:03:04,0:16:28,195.76475,0.27436111,...,...,T5.5,Pinfield2008,...,...,...,...,...,...,...,...,...,,,...,...,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,20.21 ± 0.17,Pinfield2008,19.02 ± 0.03,Pinfield2008,19.49 ± 0.09,Pinfield2008,20.10 ± 0.17,Pinfield2008,,,,,,,,,,,,,X,
J1303+1815,13031775+1815219,130317.67+181522.2,130317.69+181522.0,,Schmidt2010,13:03:18,18:15:21,195.82371,18.256111,L0,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-110.1 ± 16.4,28.0 ± 18.8,...,...,,-8.9 ± 8.9,Schmidt2010,16.313 ± 0.094,15.373 ± 0.084,15.044 ± 0.106,14.661 ± 0.036,14.388 ± 0.059,> 12.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1304+0907,13043318+0907070,130433.11+090707.3,130433.16+090706.9,,Schmidt2010,13:04:33,9:07:07,196.13817,9.118583,L0,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-96.4 ± 25.3,22.8 ± 30.0,...,...,,-18.4 ± 12.5,Schmidt2010,15.287 ± 0.058,14.569 ± 0.070,13.950 ± 0.071,13.643 ± 0.066,13.315 ± 0.065,12.235 ± 0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1305-2538,...,...,,WISP 130525.51-253828.8,Masters2012,13:05:26,-25:38:29,196.35629,-25.64133,...,...,> T9.5,Masters2012,...,...,...,...,...,...,...,...,...,,,,,,,,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1305-2541,13054019-2541059,130539.93-254106.1,,Kelu-1 AabB,Ruiz1997,13:05:40,-25:41:06,196.417458,-25.684972,L2,Kirkpatrick1999,L0.5 p(red) + T7.5 + L3 p,Stumpf2008,Binary ; Young,Stumpf2008 ; Kirkpatrick2008,...,...,...,19.23,1.47,1.47,Dupuy2012;Dahn2002,-295.3 ± 9.5,-13.1 ± 8.2,-284.79 ± 1.00,10.94 ± 0.99,Dahn2002,6.4 ± 0.4,Blake2010,13.414 ± 0.023,12.392 ± 0.024,11.747 ± 0.021,11.239 ± 0.024,10.913 ± 0.022,10.376 ± 0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Possible triple system: comp A is possible L0.5+T7 binary; comp AB parameters: a=0.3660+/-0.0006'' @ 222.74+/-0.1 deg (6/3/2008) Stumpf et al. (2008).
Cha J1305-7739,...,,,Cha 130540-773958,Allers2006,13:05:41,-77:39:58,196.4200005,-77.666167,L0,Jayawardhana2006,L1,Allers2006,Very Young?,Jayawardhana2006,Chamaeleon,Candidate,Jayawardhana2006,...,...,...,...,,,...,...,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1305+2046,13054106+2046394,130541.02+204640.4,,GJ 499C ; 2MASSI J1305410+204639,Cruz2003,13:05:41,20:46:39,196.4210835,20.777611,L4:,Cruz2003,L5,Gomes2013,...,...,...,...,...,18.8,0.61,0.61,VanLeeuwen2007,-51.3 ± 14.4,88.3 ± 11.3,-23.27 ± 19.36,73.37 ± 25.55,Jameson2008,10.6 ± 8.9,Schmidt2010,15.201 ± 0.051,14.040 ± 0.042,13.368 ± 0.038,12.540 ± 0.026,12.153 ± 0.025,11.587 ± 0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1306+3820,13061727+3820296,130617.14+382029.6,,,Reid2008,13:06:17,38:20:30,196.57192,38.341556,L0,Reid2008,L0.5,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-150.2 ± 7.6,-5.6 ± 11.5,...,...,,-1.0 ± 8.4,Schmidt2010,14.630 ± 0.029,13.797 ± 0.039,13.219 ± 0.034,12.901 ± 0.025,12.582 ± 0.025,11.942 ± 0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1308+6103,13081228+6103486,130812.23+610348.8,,,Geiβler2011,13:08:12,61:03:49,197.051175,61.0635,...,...,L2,Geiβler2011,...,...,...,...,...,...,...,...,...,-32.6 ± 8.0,20.2 ± 25.1,...,...,,...,...,16.670 ± 0.145,16.155 ± 0.214,> 15.491,14.995 ± 0.031,14.672 ± 0.048,> 13.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1308+0818,13083106+0818522,130830.90+081852.7,130831.01+081852.3,,Schmidt2010,13:08:31,8:18:52,197.129205,8.314528,L0,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-230.8 ± 12.7,53.2 ± 13.1,...,...,,...,...,15.127 ± 0.048,14.353 ± 0.060,13.845 ± 0.069,13.478 ± 0.026,13.262 ± 0.032,12.448 ± 0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1310+0554,13100288+0554042,131002.84+055404.2,,,West2008,13:10:03,5:54:04,197.51203,5.90119,L0,West2008,...,...,...,...,...,...,...,...,...,...,...,-61.9 ± 17.8,-1.3 ± 18.5,,,,-16.9 ± 7.1,West2008;Schmidt2010,16.079 ± 0.095,15.396 ± 0.101,14.782 ± 0.130,14.644 ± 0.032,14.404 ± 0.058,> 12.471,,,,25.58 ± 0.71,25.94 ± 0.47,22.98 ± 0.22,20.11 ± 0.04,18.33 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1311+0122,...,131106.20+012254.3,...,WISEPC J131106.24+012252.4,Kirkpatrick2011,13:11:06,1:22:52,197.776005,1.381222,...,...,T9:,Kirkpatrick2011,...,...,...,...,...,...,...,...,...,,,...,...,,,,...,...,...,18.064 ± 0.431,14.733 ± 0.080,> 12.110,> 9.287,,,...,...,...,...,...,,,,,,,16.817 ± 0.045,Kirkpatrick2011,14.676 ± 0.020,Kirkpatrick2011,,,,,19.89 ± 0.10,Scholz2012?,18.97 ± 0.08,Scholz2012?, > 18.8,Scholz2012?, > 18.3,Scholz2012?,,,,,,,,,,,,,X,
J1311+2401,13111387+2401056,131113.77+240105.0,131113.82+240105.0,,Schmidt2010,13:11:14,24:01:05,197.80758,24.018056,L3,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-122.9 ± 24.3,-54.4 ± 22.9,...,...,,0.4 ± 7.5,Schmidt2010,16.190 ± 0.112,15.688 ± 0.163,14.787 ± 0.148,14.648 ± 0.035,14.349 ± 0.058,> 12.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1311+3629,13114227+3629235,131141.92+362924.7,131142.1+362923.9,WISEPC J131141.91+362925.2,Zhang2009,13:11:42,36:29:25,197.924625,36.490333,L6,Zhang2009,L5 p(blue),Kirkpatrick2011,Blue ; Strong Candidate L5 + T4:: binary,Kirkpatrick2011 ; Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,-341.0 ± 7.9,94.9 ± 9.5,...,...,,...,...,15.545 ± 0.051,14.752 ± 0.056,14.140 ± 0.048,13.513 ± 0.026,13.110 ± 0.030,12.735 ± 0.443,> 8.88,,,...,...,...,...,...,,,,,,,13.164 ± 0.017,Kirkpatrick2011,13.191 ± 0.017,Kirkpatrick2011,,,,,...,...,...,...,...,...,...,...,,,,,,,,,,,,,X,
J1312+3937,13120707+3937445,131206.96+393744.5,,,Cruz2007,13:12:06,39:37:44,198.02917,39.628889,L0:,Cruz2007,M9,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-106.2 ± 6.9,0.2 ± 8.4,-96.57 ± 23.07,13.40 ± 18.48,Jameson2008,-23.8 ± 5.0,West2008,14.165 ± 0.022,13.406 ± 0.023,12.945 ± 0.021,12.613 ± 0.024,12.344 ± 0.023,12.254 ± 0.250,,,,24.56 ± 0.76,22.91 ± 0.10,20.94 ± 0.03,18.36 ± 0.02,16.52 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1312-7617,13121165-7617357,131211.10-761740.9,,...,Luhman2014a,13:12:11,-76:17:41,198.04625,-76.294694,...,...,L5.5,Luhman2014a,...,...,...,...,...,...,...,...,...,-194.8 ± 2.8,-519.5 ± 15.3,...,...,...,...,...,16.043 ± 0.107,15.275 ± 0.112,14.347 ± 0.093,13.828 ± 0.028,13.531 ± 0.034,12.332 ± 0.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1312+2909,13122172+2909354,131221.88+290934.3,131221.79+290935.0,,Schmidt2010,13:12:22,29:09:34,198.090795,29.159722,L0,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,198.3 ± 10.4,-105.8 ± 12.4,...,...,,-2.3 ± 3.3,Schmidt2010,15.328 ± 0.056,14.776 ± 0.085,14.296 ± 0.072,13.978 ± 0.028,13.697 ± 0.035,> 13.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1314-0008,13141551-0008480,131415.53-000847.0,,SDSSp J131415.52-000848.1,Geballe2002,13:14:16,23:51:12,198.5646255,-0.146667,...,...,L3.5,Knapp2004,...,...,...,...,...,...,...,...,...,25.2 ± 33.0,107.0 ± 28.2,...,...,,...,...,16.620 ± 0.142,16.168 ± 0.173,15.295 ± 0.162,14.800 ± 0.036,14.484 ± 0.064,> 12.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1314+2405,13144863+2405320,131448.66+240532.0,131448.64+240532.1,,Schmidt2010,13:14:49,24:05:32,198.702675,24.09225,L3,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,38.5 ± 21.8,-5.2 ± 28.8,...,...,,3.6 ± 8.4,Schmidt2010,16.677 ± 0.105,15.637 ± 0.102,15.403 ± 0.132,15.010 ± 0.039,14.802 ± 0.083,> 12.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1315+0826,...,,,ULAS J131508.42+082627.4,Pinfield2008,13:15:08,8:26:27,198.78508,8.4409444,...,...,T7.5,Pinfield2008,...,...,...,...,...,23.36,4.2,4.2,Marocco2010a,,,...,...,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,20.00 ± 0.08,Pinfield2008,18.86 ± 0.04,Pinfield2008,19.50 ± 0.10,Pinfield2008,19.60 ± 0.12,Pinfield2008,,,,,,,,,,,,,X,
J1315-2649,13153094-2649513,131530.33-264954.7,,,Hall2002,13:15:31,-26:49:51,198.878916,-26.830917,L5.5,Kirkpatrick2008,L3.5:: + T7,Burgasser2011b,Binary,Burgasser2011b,...,...,...,...,...,...,...,-683.0 ± 15.8,-283.5 ± 10.3,...,...,...,...,...,15.195 ± 0.049,14.058 ± 0.034,13.462 ± 0.042,12.733 ± 0.023,12.313 ± 0.023,11.859 ± 0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1315+2334,13154379+2334578,131543.57+233458.0,131543.68+233458.0,,Schmidt2010,13:15:44,23:34:58,198.931995,23.582778,L1,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-278.9 ± 14.4,22.3 ± 16.8,...,...,,-8.3 ± 5.5,Schmidt2010,15.805 ± 0.070,15.041 ± 0.082,14.771 ± 0.085,14.380 ± 0.032,14.176 ± 0.049,> 12.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1315+2454,13154557+2454072,131545.52+245407.2,131545.55+245407.3,,Schmidt2010,13:15:46,24:54:07,198.939795,24.902028,L0,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-58.7 ± 11.8,-1.9 ± 13.6,...,...,,-42.2 ± 12.7,Schmidt2010,15.536 ± 0.064,14.765 ± 0.072,14.360 ± 0.068,13.970 ± 0.028,13.685 ± 0.040,> 12.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1316+0755,...,...,...         ,ULAS J131610.28+075553.0,Burningham2014,13:16:10,7:55:53,199.04283,7.9313889,...,...,T6.5 sd,Burningham2014,Subdwarf,Burningham2014,...,...,...,...,...,...,...,,,-1012.2 ± 15.24,102.8 ± 13.85,Burningham2014,,,...,...,...,...,...,...,...         ,...         ,...         ,...         ,...         ,...         ,...         ,...         ,...         ,...         ,...         ,...         ,...         ,...         ,...         ,...         ,...         ,...         ,,,,,20.00 ± 0.14,Burningham2014,18.98 ± 0.10,Burningham2014,...         ,...         ,...         ,...         ,,,...         ,...         ,...         ,...         ,...         ,...         ,...         ,...         ,...         ,...         ,,
J1316+2133,13161436+2133298,131614.36+213330.2,131614.35+213329.9,,Schmidt2010,13:16:14,21:33:30,199.059795,21.558306,L0,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-1.7 ± 19.4,46.1 ± 22.4,...,...,,-40.7 ± 4.5,Schmidt2010,16.214 ± 0.101,15.534 ± 0.158,14.959 ± 0.125,14.613 ± 0.033,14.198 ± 0.052,> 12.180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0245-3450, ... ,131833.98-175826.5,,WISE J131833.98-175826.5,Mace2013,13:18:34,-17:58:26,199.6415279,-17.9739775,...,...,T9:,Mace2013,...,...,...,...,...,...,...,...,...,,,,,,,,18.43 ± 0.19,17.71 ± 0.23,> 17.67,18.10 ± 0.34,14.75 ± 0.07,> 12.43,> 9.47,,,,,,,,,,,,,,16.79 ± 0.05,Mace2013,14.73 ± 0.02,Mace2013,,,,, ... , ... , ... , ... , ... , ... ,,,,,,,,,,,,,,,,2MASS JHK Photometry from the 2MASS camera at Bigelow
J1318+2130,13183912+2130428,131839.04+213042.8,131839.06+213043.0,,Schmidt2010,13:18:39,21:30:42,199.66275,21.511944,L0,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,-104.1 ± 17.6,-2.9 ± 18.8,...,...,,1.5 ± 9.0,Schmidt2010,16.436 ± 0.118,15.500 ± 0.129,15.041 ± 0.117,14.609 ± 0.033,14.345 ± 0.059,> 12.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1318+1736,13184794+1736117,131847.87+173611.9,,,Kirkpatrick2010,13:18:48,17:36:12,199.699755,17.60325,...,...,L5.5,Kirkpatrick2010,...,...,...,...,...,...,...,...,...,-102.9 ± 14.3,19.5 ± 15.5,...,...,,...,...,16.341 ± 0.101,15.227 ± 0.094,14.533 ± 0.060,13.884 ± 0.026,13.512 ± 0.035,> 12.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1319+1209,...,,,ULAS J131943.77+120900.2,Burningham2010b,13:19:44,12:09:00,199.93238,12.150056,...,...,T5 p,Burningham2010b,Peculiar Spectrum,Burningham2010b,...,...,...,...,...,...,...,,,...,...,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,20.39 ± 0.05,Burningham2010b,18.90 ± 0.05,Burningham2010b,18.90 ± 0.15,Burningham2010b,19.41 ± 0.10,Burningham2010b,,,,,,,,,,,,,X,
J1320+6034,...,132004.16+603426.3,132004.85+603426.3,WISEPC J132004.16+603426.2,Kirkpatrick2011,13:20:04,60:34:26,200.017335,60.573944,...,...,T6.5,Kirkpatrick2011,...,...,...,...,...,...,...,...,...,,,...,...,,,,16.496 ± 0.092,16.724 ± 0.149,16.396 ± 0.213,16.938 ± 0.111,14.414 ± 0.050,> 12.417,> 9.425,,,25.231 ± 0.854,24.000 ± 0.455,25.834 ± 0.437,23.622 ± 0.638,20.357 ± 0.146,,,,,,,15.833 ± 0.028,Kirkpatrick2011,14.496 ± 0.020,Kirkpatrick2011,,,,,...,...,...,...,...,...,...,...,,,,,,,,,,,,,X,
J1320+0409,13204427+0409045,132043.93+040906.7,,,Reid2008,13:20:44,4:09:05,200.184459,4.15125,L3::,Reid2008,L2.5,Bardalez-Gagliuffi2014,...,...,...,...,...,30.96,0.82,0.82,VanLeeuwen2007,-493.3 ± 17.0,209.6 ± 13.2,-483.24 ± 18.86,211.12 ± 17.76,Jameson2008,...,...,15.246 ± 0.045,14.302 ± 0.028,13.621 ± 0.046,13.162 ± 0.026,12.882 ± 0.028,> 12.270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1320+1029,...,,,ULAS J132048.12+102910.6,Burningham2010b,13:20:48,10:29:11,200.2005,10.486278,...,...,T5,Burningham2010b,...,...,...,...,...,...,...,...,...,,,...,...,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,18.97 ± 0.06,Burningham2010b,17.82 ± 0.02,Burningham2010b,17.89 ± 0.05,Burningham2010b,18.17 ± 0.13,Burningham2010b,,,,,,,,,,,,,X,
J1322-2340,...,132233.64-234016.8,...,WISEPA J132233.66-234017.1,Kirkpatrick2011,13:22:34,-23:40:17,200.640255,-23.671417,...,...,T8,Kirkpatrick2011,...,...,...,...,...,...,...,...,...,,,...,...,,,,17.006 ± 0.105,16.605 ± 0.141,16.991 ± 0.399,17.192 ± 0.222,13.876 ± 0.052,> 12.017,8.594 ± 0.340,,,...,...,...,...,...,,,,,,,15.666 ± 0.026,Kirkpatrick2011,13.892 ± 0.018,Kirkpatrick2011,,,,,...,...,...,...,...,...,...,...,,,,,,,,,,,,,X,
J1323-1806,13233597-1806379,132335.89-180638.3,,DENIS-P J1323-1806,Martín1999,13:23:36,-18:06:38,200.899875,-18.110528,L0,Martín1999,L0,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-103.5 ± 10.4,-39.8 ± 10.6,-86.90 ± 15.82,-22.15 ± 18.31,Jameson2008,...,...,14.903 ± 0.034,14.193 ± 0.045,13.663 ± 0.047,13.336 ± 0.025,13.096 ± 0.031,12.337 ± 0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1324+1906,13240776+1906271,132407.68+190626.1,,PSO J201.0320+19.1072,Deacon2011,13:24:08,19:06:26,201.031995,19.1072,...,...,T3.5,Deacon2011,...,...,...,...,...,...,...,...,...,-109.6 ± 16.1,-105.1 ± 19.1,-96.62 ± 0.00,-86.97 ± 0.00,Deacon2011,...,...,15.769 ± 0.074,15.467 ± 0.124,15.415 ± 0.158,15.100 ± 0.038,13.780 ± 0.038,12.055 ± 0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1324+6358,13243553+6358281,132434.95+635827.5,,,Looper2007,13:24:36,63:58:28,201.1482915,63.974487,...,...,T2: p,Looper2007,Peculiar Spectrum ; Candidate L8 + T3.5 binary,Looper2007 ; Burgasser2010a,...,...,...,...,...,...,...,-377.4 ± 3.7,-58.6 ± 10.1,-342.51 ± 63.74,-259.98 ± 48.40,Looper2007,...,...,15.596 ± 0.066,14.576 ± 0.056,14.058 ± 0.059,13.132 ± 0.024,12.290 ± 0.023,10.835 ± 0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1325+0517,13251108+0517041,132511.11+051703.3,132511.10+051704.2,,Schmidt2010,13:25:11,5:17:04,201.29625,5.2845,L1,Schmidt2010,...,...,...,...,...,...,...,...,...,...,...,39.5 ± 11.7,-83.3 ± 13.6,...,...,,7.3 ± 10.2,Schmidt2010,15.086 ± 0.044,14.523 ± 0.046,13.910 ± 0.054,13.543 ± 0.026,13.278 ± 0.031,> 12.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1326+1200,...,,,ULAS J132605.18+120009.9,Burningham2010b,13:26:05,12:00:10,201.52158,12.00275,...,...,T6 p,Burningham2010b,Peculiar Spectrum,Burningham2010b,...,...,...,...,...,...,...,,,...,...,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,18.73 ± 0.03,Burningham2010b,17.50 ± 0.02,Burningham2010b,17.93 ± 0.09,Burningham2010b,17.58 ± 0.05,Burningham2010b,,,,,,,,,,,,,X,
J1326-2729,13262009-2729370,132619.80-272937.2,,2MASSW J1326201-272937,Gizis2002,13:26:20,-27:29:36,201.5837085,-27.493611,L5,Gizis2002,L6.5:,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-356.7 ± 9.6,-16.3 ± 6.5,-363.70 ± 16.48,-15.88 ± 13.98,Jameson2008,...,...,15.847 ± 0.070,14.741 ± 0.058,13.852 ± 0.054,12.853 ± 0.023,12.339 ± 0.024,11.812 ± 0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1326-0038,13262981-0038314,132629.64-003832.6,,SDSSp J132629.82-003831.5,Fan2000,13:26:30,23:21:28,201.6242085,-0.642056,L8:,Fan2000,L5.5,Knapp2004,...,...,...,...,...,20.01,2.53,2.53,Vrba2004,-231.5 ± 12.5,-104.1 ± 12.9,-226.43 ± 8.27,-107.37 ± 5.55,Vrba2004,...,...,16.103 ± 0.070,15.050 ± 0.060,14.208 ± 0.066,13.269 ± 0.024,12.754 ± 0.026,12.364 ± 0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1327+0759,13271524+0759375,132715.12+075937.8,132715.21+075937.5,,Schmidt2010,13:27:15,7:59:38,201.813375,7.99375,L1,Schmidt2010,L0.5,Bardalez-Gagliuffi2014,...,...,...,...,...,...,...,...,...,-177.3 ± 12.5,30.8 ± 17.2,...,...,,-7.9 ± 11.7,Schmidt2010,14.599 ± 0.037,13.785 ± 0.041,13.236 ± 0.036,12.808 ± 0.025,12.532 ± 0.027,12.317 ± 0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J1328+2114,13285503+2114486,132855.21+211443.9,,2MASSW J1328550+211449,Kirkpatrick1999,13:28:55,21:14:49,202.229292,21.246833,L5,Kirkpatrick1999,L4,Bardalez-Gagliuffi2014,...,...,...,...,...,32.26,3.95,3.95,Dahn2002,229.8 ± 13.7,-424.3 ± 16.5,219.16 ± 1.71,-428.28 ± 1.78,Dahn2002,...,...,16.192 ± 0.104,15.002 ± 0.081,14.265 ± 0.082,13.580 ± 0.025,13.368 ± 0.032,> 12.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
